NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.73337e-11 0 0.00990802 0.00513413 0.0123457 110
20 20 0.0526316 0.0526316 9.62154e-11 0 0.00226586 0.00102552 0.00277008 475
30 30 0.0344828 0.0344828 9.89844e-11 0 0.000975663 0.000424585 0.00118906 1064
40 40 0.025641 0.025641 9.94622e-11 0 0.000540027 0.00023066 0.000657462 1867
50 50 0.0204082 0.0204082 9.94275e-11 0 0.000342251 0.000144598 0.000416493 2876
60 60 0.0169492 0.0169492 9.96129e-11 0 0.000236111 9.90439e-05 0.000287274 4084
70 70 0.0144928 0.0144928 9.9834e-11 0 0.000172641 7.20542e-05 0.00021004 5486
80 80 0.0126582 0.0126582 9.99902e-11 0 0.000131692 5.47574e-05 0.000160231 7078
90 90 0.011236 0.011236 9.99815e-11 0 0.000103744 4.30113e-05 0.000126247 8857
100 100 0.010101 0.010101 9.98596e-11 0 8.38206e-05 3.46709e-05 0.00010203 10820
110 110 0.00917431 0.00917431 9.99479e-11 0 6.91179e-05 2.85355e-05 8.4168e-05 12962
120 120 0.00840336 0.00840336 9.99828e-11 0 5.79571e-05 2.38903e-05 7.06165e-05 15282
130 130 0.00775194 0.00775194 9.99517e-11 0 4.92837e-05 2.02882e-05 6.00925e-05 17778
140 140 0.00719424 0.00719424 9.99435e-11 0 4.24079e-05 1.7438e-05 5.17572e-05 20447
150 150 0.00671141 0.00671141 9.99489e-11 0 3.68635e-05 1.51433e-05 4.5043e-05 23287
160 160 0.00628931 0.00628931 9.99708e-11 0 3.23258e-05 1.32679e-05 3.95554e-05 26296
170 170 0.00591716 0.00591716 9.99635e-11 0 2.85637e-05 1.17149e-05 3.50128e-05 29473
180 180 0.00558659 0.00558659 9.99988e-11 0 2.54081e-05 1.04138e-05 3.121e-05 32815
190 190 0.00529101 0.00529101 9.99992e-11 0 2.27342e-05 9.31227e-06 2.79947e-05 36322
200 200 0.00502513 0.00502513 9.99946e-11 0 2.04471e-05 8.37094e-06 2.52519e-05 39992
