NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.68875e-10 0 0.00990802 0.00513412 0.0123457 151
20 20 0.0526316 0.0526316 9.87e-10 0 0.00226583 0.00102551 0.00277008 625
30 30 0.0344828 0.0344828 9.9295e-10 0 0.000975586 0.000424551 0.00118906 1386
40 40 0.025641 0.025641 9.98159e-10 0 0.000539887 0.0002306 0.000657462 2416
50 50 0.0204082 0.0204082 9.97133e-10 0 0.000342029 0.000144504 0.000416493 3704
60 60 0.0169492 0.0169492 9.99515e-10 0 0.000235788 9.89082e-05 0.000287274 5239
70 70 0.0144928 0.0144928 9.99442e-10 0 0.000172199 7.18694e-05 0.00021004 7015
80 80 0.0126582 0.0126582 9.99427e-10 0 0.000131112 5.45161e-05 0.000160231 9025
90 90 0.011236 0.011236 9.98815e-10 0 0.000103008 4.27059e-05 0.000126247 11264
100 100 0.010101 0.010101 9.99118e-10 0 8.29092e-05 3.42937e-05 0.00010203 13726
110 110 0.00917431 0.00917431 9.99618e-10 0 6.80122e-05 2.80788e-05 8.4168e-05 16407
120 120 0.00840336 0.00840336 9.99575e-10 0 5.66391e-05 2.33468e-05 7.06165e-05 19304
130 130 0.00775194 0.00775194 9.99475e-10 0 4.77347e-05 1.96503e-05 6.00925e-05 22413
140 140 0.00719424 0.00719424 9.99714e-10 0 4.06088e-05 1.6698e-05 5.17572e-05 25730
150 150 0.00671141 0.00671141 9.99705e-10 0 3.4796e-05 1.42938e-05 4.5043e-05 29253
