NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 7.9448e-07 0 0.00990526 0.0051326 0.0123457 28
20 20 0.0526316 0.0526316 9.81049e-07 0 0.00224852 0.00101756 0.00277008 102
30 30 0.0344828 0.0344828 9.70394e-07 0 0.000934914 0.000406733 0.00118906 217
40 40 0.025641 0.025641 9.94273e-07 0 0.000464024 0.000198074 0.000657462 367
50 50 0.0204082 0.0204082 9.84577e-07 0 0.000223099 9.41356e-05 0.000416493 551
60 60 0.0169492 0.0169492 9.98204e-07 0 6.08502e-05 2.5339e-05 0.000287274 764
70 70 0.0144928 0.0144928 9.93821e-07 0 6.71501e-05 2.78512e-05 0.00021004 1007
80 80 0.0126582 0.0126582 9.98028e-07 0 0.000183713 7.63044e-05 0.000160231 1276
90 90 0.011236 0.011236 9.9887e-07 0 0.000296929 0.000123022 0.000126247 1571
100 100 0.010101 0.010101 9.97171e-07 0 0.000411129 0.000169974 0.00010203 1891
110 110 0.00917431 0.00917431 9.97265e-07 0 0.000530948 0.000219122 8.4168e-05 2234
120 120 0.00840336 0.00840336 9.98422e-07 0 0.000658111 0.000271197 7.06165e-05 2599
130 130 0.00775194 0.00775194 9.98056e-07 0 0.000791897 0.000325913 6.00925e-05 2986
140 140 0.00719424 0.00719424 9.99173e-07 0 0.00093535 0.000384533 5.17572e-05 3393
150 150 0.00671141 0.00671141 9.99861e-07 0 0.00108743 0.000446629 4.5043e-05 3820
