NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.11442e-11 0 0.00990802 0.00513413 0.0123457 170
20 20 0.0526316 0.0526316 9.82583e-11 0 0.00226586 0.00102552 0.00277008 709
30 30 0.0344828 0.0344828 9.9087e-11 0 0.000975661 0.000424584 0.00118906 1582
40 40 0.025641 0.025641 9.94704e-11 0 0.000540024 0.000230659 0.000657462 2771
50 50 0.0204082 0.0204082 9.96194e-11 0 0.000342246 0.000144596 0.000416493 4264
60 60 0.0169492 0.0169492 9.98766e-11 0 0.000236104 9.90409e-05 0.000287274 6051
70 70 0.0144928 0.0144928 9.98116e-11 0 0.000172631 7.20502e-05 0.00021004 8126
80 80 0.0126582 0.0126582 9.98867e-11 0 0.00013168 5.47522e-05 0.000160231 10481
90 90 0.011236 0.011236 9.9955e-11 0 0.000103728 4.30046e-05 0.000126247 13111
100 100 0.010101 0.010101 9.99314e-11 0 8.38007e-05 3.46627e-05 0.00010203 16012
110 110 0.00917431 0.00917431 9.9917e-11 0 6.90938e-05 2.85256e-05 8.4168e-05 19179
120 120 0.00840336 0.00840336 9.99845e-11 0 5.79283e-05 2.38784e-05 7.06165e-05 22607
130 130 0.00775194 0.00775194 9.99459e-11 0 4.92499e-05 2.02743e-05 6.00925e-05 26295
140 140 0.00719424 0.00719424 9.99825e-11 0 4.23686e-05 1.74218e-05 5.17572e-05 30237
150 150 0.00671141 0.00671141 9.9976e-11 0 3.68184e-05 1.51248e-05 4.5043e-05 34432
