NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 8.23373e-08 0 0.00990774 0.00513397 0.0123457 33
20 20 0.0526316 0.0526316 9.27922e-08 0 0.00226422 0.00102477 0.00277008 124
30 30 0.0344828 0.0344828 9.93099e-08 0 0.000971498 0.000422761 0.00118906 266
40 40 0.025641 0.025641 9.98588e-08 0 0.000532405 0.000227392 0.000657462 456
50 50 0.0204082 0.0204082 9.92666e-08 0 0.000330255 0.000139518 0.000416493 691
60 60 0.0169492 0.0169492 9.92503e-08 0 0.000218696 9.1726e-05 0.000287274 968
70 70 0.0144928 0.0144928 9.95076e-08 0 0.000148738 6.20655e-05 0.00021004 1285
80 80 0.0126582 0.0126582 9.94726e-08 0 0.000100351 4.17135e-05 0.000160231 1641
90 90 0.011236 0.011236 9.96203e-08 0 6.38909e-05 2.64762e-05 0.000126247 2034
100 100 0.010101 0.010101 9.97634e-08 0 3.44237e-05 1.42264e-05 0.00010203 2463
110 110 0.00917431 0.00917431 9.98699e-08 0 9.21811e-06 3.76985e-06 8.4168e-05 2927
120 120 0.00840336 0.00840336 9.99577e-08 0 1.36722e-05 5.61002e-06 7.06165e-05 3425
130 130 0.00775194 0.00775194 9.98202e-08 0 3.47342e-05 1.42871e-05 6.00925e-05 3957
140 140 0.00719424 0.00719424 9.99935e-08 0 5.53019e-05 2.27319e-05 5.17572e-05 4520
150 150 0.00671141 0.00671141 9.98707e-08 0 7.52743e-05 3.09143e-05 4.5043e-05 5116
