NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.71001e-12 0 0.00990802 0.00513413 0.0123457 188
20 20 0.0526316 0.0526316 9.78173e-12 0 0.00226586 0.00102552 0.00277008 793
30 30 0.0344828 0.0344828 9.88787e-12 0 0.000975668 0.000424587 0.00118906 1778
40 40 0.025641 0.025641 9.97713e-12 0 0.000540038 0.000230665 0.000657462 3125
50 50 0.0204082 0.0204082 9.99356e-12 0 0.000342268 0.000144606 0.000416493 4823
60 60 0.0169492 0.0169492 9.98024e-12 0 0.000236136 9.90541e-05 0.000287274 6863
70 70 0.0144928 0.0144928 9.98868e-12 0 0.000172674 7.20682e-05 0.00021004 9236
80 80 0.0126582 0.0126582 9.99889e-12 0 0.000131737 5.47758e-05 0.000160231 11936
90 90 0.011236 0.011236 9.99045e-12 0 0.0001038 4.30345e-05 0.000126247 14959
100 100 0.010101 0.010101 9.99512e-12 0 8.38898e-05 3.46996e-05 0.00010203 18298
110 110 0.00917431 0.00917431 9.99556e-12 0 6.92019e-05 2.85702e-05 8.4168e-05 21950
120 120 0.00840336 0.00840336 9.99412e-12 0 5.80573e-05 2.39316e-05 7.06165e-05 25911
130 130 0.00775194 0.00775194 9.99445e-12 0 4.94014e-05 2.03367e-05 6.00925e-05 30177
140 140 0.00719424 0.00719424 9.99933e-12 0 4.25446e-05 1.74942e-05 5.17572e-05 34744
150 150 0.00671141 0.00671141 9.99822e-12 0 3.70206e-05 1.52079e-05 4.5043e-05 39611
