NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.66756e-08 0 0.00990738 0.00513377 0.0123457 114
20 20 0.0526316 0.0526316 9.95893e-08 0 0.00226238 0.00102392 0.00277008 457
30 30 0.0344828 0.0344828 9.97124e-08 0 0.000967338 0.000420936 0.00118906 994
40 40 0.025641 0.025641 9.98596e-08 0 0.000524816 0.000224137 0.000657462 1707
50 50 0.0204082 0.0204082 9.99014e-08 0 0.000318133 0.000134383 0.000416493 2584
60 60 0.0169492 0.0169492 9.9818e-08 0 0.0002011 8.43315e-05 0.000287274 3616
70 70 0.0144928 0.0144928 9.97948e-08 0 0.000124705 5.2022e-05 0.00021004 4795
80 80 0.0126582 0.0126582 9.98967e-08 0 6.87399e-05 2.85564e-05 0.000160231 6114
90 90 0.011236 0.011236 9.99835e-08 0 2.37715e-05 9.81317e-06 0.000126247 7568
100 100 0.010101 0.010101 9.9973e-08 0 1.5424e-05 6.3176e-06 0.00010203 9153
110 110 0.00917431 0.00917431 9.99682e-08 0 5.10759e-05 2.10649e-05 8.4168e-05 10864
120 120 0.00840336 0.00840336 9.99733e-08 0 8.53044e-05 3.51473e-05 7.06165e-05 12697
130 130 0.00775194 0.00775194 9.99508e-08 0 0.000119041 4.89888e-05 6.00925e-05 14649
140 140 0.00719424 0.00719424 9.99491e-08 0 0.000153032 6.29107e-05 5.17572e-05 16716
150 150 0.00671141 0.00671141 9.99595e-08 0 0.000187742 7.71079e-05 4.5043e-05 18895
