NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.13492e-13 0 0.00990802 0.00513413 0.0123457 207
20 20 0.0526316 0.0526316 9.73888e-13 0 0.00226586 0.00102552 0.00277008 877
30 30 0.0344828 0.0344828 9.98424e-13 0 0.000975669 0.000424588 0.00118906 1973
40 40 0.025641 0.025641 9.94316e-13 0 0.000540039 0.000230665 0.000657462 3480
50 50 0.0204082 0.0204082 9.98424e-13 0 0.00034227 0.000144606 0.000416493 5383
60 60 0.0169492 0.0169492 9.97424e-13 0 0.000236139 9.90555e-05 0.000287274 7675
70 70 0.0144928 0.0144928 9.99645e-13 0 0.000172679 7.207e-05 0.00021004 10346
80 80 0.0126582 0.0126582 9.99312e-13 0 0.000131742 5.47781e-05 0.000160231 13392
90 90 0.011236 0.011236 9.99756e-13 0 0.000103807 4.30375e-05 0.000126247 16806
100 100 0.010101 0.010101 9.99645e-13 0 8.38988e-05 3.47033e-05 0.00010203 20584
110 110 0.00917431 0.00917431 9.99867e-13 0 6.92127e-05 2.85747e-05 8.4168e-05 24721
120 120 0.00840336 0.00840336 9.99645e-13 0 5.80702e-05 2.39369e-05 7.06165e-05 29214
130 130 0.00775194 0.00775194 9.99423e-13 0 4.94166e-05 2.0343e-05 6.00925e-05 34059
140 140 0.00719424 0.00719424 9.99534e-13 0 4.25623e-05 1.75015e-05 5.17572e-05 39252
150 150 0.00671141 0.00671141 9.99867e-13 0 3.70409e-05 1.52162e-05 4.5043e-05 44790
