NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.0746e-07 0 0.00990197 0.00513074 0.0123457 96
20 20 0.0526316 0.0526316 9.73268e-07 0 0.00223186 0.00100987 0.00277008 374
30 30 0.0344828 0.0344828 9.99218e-07 0 0.000892178 0.00038799 0.00118906 798
40 40 0.025641 0.025641 9.95576e-07 0 0.000388264 0.000165578 0.000657462 1353
50 50 0.0204082 0.0204082 9.99955e-07 0 0.000100829 4.22735e-05 0.000416493 2024
60 60 0.0169492 0.0169492 9.98928e-07 0 0.000115855 4.82964e-05 0.000287274 2804
70 70 0.0144928 0.0144928 9.99273e-07 0 0.000308694 0.000128678 0.00021004 3684
80 80 0.0126582 0.0126582 9.99527e-07 0 0.000499637 0.000207589 0.000160231 4658
90 90 0.011236 0.011236 9.991e-07 0 0.000697369 0.000288964 0.000126247 5721
100 100 0.010101 0.010101 9.99533e-07 0 0.000908019 0.000375428 0.00010203 6867
110 110 0.00917431 0.00917431 9.99299e-07 0 0.00113307 0.000467635 8.4168e-05 8093
120 120 0.00840336 0.00840336 9.99464e-07 0 0.0013753 0.000566751 7.06165e-05 9394
130 130 0.00775194 0.00775194 9.99525e-07 0 0.0016352 0.000672993 6.00925e-05 10767
140 140 0.00719424 0.00719424 9.99891e-07 0 0.00191418 0.000786949 5.17572e-05 12208
150 150 0.00671141 0.00671141 9.99984e-07 0 0.00221169 0.000908393 4.5043e-05 13715
