NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.4984e-12 0 0.00990802 0.00513413 0.0123457 53
20 20 0.0526316 0.0526316 9.20253e-12 0 0.00226586 0.00102552 0.00277008 210
30 30 0.0344828 0.0344828 9.92584e-12 0 0.000975669 0.000424588 0.00118906 464
40 40 0.025641 0.025641 9.90141e-12 0 0.000540039 0.000230665 0.000657462 813
50 50 0.0204082 0.0204082 9.92617e-12 0 0.000342269 0.000144606 0.000416493 1253
60 60 0.0169492 0.0169492 9.9224e-12 0 0.000236138 9.90549e-05 0.000287274 1782
70 70 0.0144928 0.0144928 9.91873e-12 0 0.000172677 7.20692e-05 0.00021004 2398
80 80 0.0126582 0.0126582 9.94105e-12 0 0.00013174 5.47771e-05 0.000160231 3099
90 90 0.011236 0.011236 9.9547e-12 0 0.000103804 4.30362e-05 0.000126247 3884
100 100 0.010101 0.010101 9.995e-12 0 8.38948e-05 3.47016e-05 0.00010203 4751
110 110 0.00917431 0.00917431 9.97802e-12 0 6.92079e-05 2.85727e-05 8.4168e-05 5701
120 120 0.00840336 0.00840336 9.98635e-12 0 5.80645e-05 2.39346e-05 7.06165e-05 6731
130 130 0.00775194 0.00775194 9.9879e-12 0 4.94099e-05 2.03402e-05 6.00925e-05 7841
140 140 0.00719424 0.00719424 9.98912e-12 0 4.25544e-05 1.74983e-05 5.17572e-05 9030
150 150 0.00671141 0.00671141 9.99423e-12 0 3.70319e-05 1.52125e-05 4.5043e-05 10297
