NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 8.84349e-10 0 0.00990802 0.00513412 0.0123457 43
20 20 0.0526316 0.0526316 9.24074e-10 0 0.00226585 0.00102552 0.00277008 167
30 30 0.0344828 0.0344828 9.92838e-10 0 0.000975627 0.00042457 0.00118906 365
40 40 0.025641 0.025641 9.81597e-10 0 0.000539964 0.000230633 0.000657462 635
50 50 0.0204082 0.0204082 9.92641e-10 0 0.00034215 0.000144556 0.000416493 972
60 60 0.0169492 0.0169492 9.92366e-10 0 0.000235965 9.89823e-05 0.000287274 1375
70 70 0.0144928 0.0144928 9.97592e-10 0 0.000172439 7.19699e-05 0.00021004 1841
80 80 0.0126582 0.0126582 9.94418e-10 0 0.000131429 5.46478e-05 0.000160231 2370
90 90 0.011236 0.011236 9.95837e-10 0 0.000103409 4.28723e-05 0.000126247 2959
100 100 0.010101 0.010101 9.98562e-10 0 8.34045e-05 3.44987e-05 0.00010203 3607
110 110 0.00917431 0.00917431 9.98252e-10 0 6.86136e-05 2.83272e-05 8.4168e-05 4314
120 120 0.00840336 0.00840336 9.99102e-10 0 5.73555e-05 2.36422e-05 7.06165e-05 5078
130 130 0.00775194 0.00775194 9.98495e-10 0 4.85771e-05 1.99972e-05 6.00925e-05 5899
140 140 0.00719424 0.00719424 9.9942e-10 0 4.15865e-05 1.71001e-05 5.17572e-05 6775
150 150 0.00671141 0.00671141 9.99953e-10 0 3.5919e-05 1.47552e-05 4.5043e-05 7706
