NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.1651e-11 0 0.00990802 0.00513413 0.0123457 48
20 20 0.0526316 0.0526316 9.7293e-11 0 0.00226586 0.00102552 0.00277008 188
30 30 0.0344828 0.0344828 9.69882e-11 0 0.000975665 0.000424586 0.00118906 415
40 40 0.025641 0.025641 9.85857e-11 0 0.000540032 0.000230662 0.000657462 724
50 50 0.0204082 0.0204082 9.84529e-11 0 0.000342258 0.000144601 0.000416493 1113
60 60 0.0169492 0.0169492 9.97927e-11 0 0.000236122 9.90482e-05 0.000287274 1578
70 70 0.0144928 0.0144928 9.98852e-11 0 0.000172655 7.20602e-05 0.00021004 2119
80 80 0.0126582 0.0126582 9.97411e-11 0 0.000131711 5.47653e-05 0.000160231 2734
90 90 0.011236 0.011236 9.98138e-11 0 0.000103768 4.30212e-05 0.000126247 3421
100 100 0.010101 0.010101 9.99028e-11 0 8.38502e-05 3.46832e-05 0.00010203 4179
110 110 0.00917431 0.00917431 9.99689e-11 0 6.91538e-05 2.85504e-05 8.4168e-05 5007
120 120 0.00840336 0.00840336 9.97475e-11 0 5.80001e-05 2.3908e-05 7.06165e-05 5905
130 130 0.00775194 0.00775194 9.98641e-11 0 4.93341e-05 2.0309e-05 6.00925e-05 6870
140 140 0.00719424 0.00719424 9.98143e-11 0 4.24666e-05 1.74621e-05 5.17572e-05 7903
150 150 0.00671141 0.00671141 9.98801e-11 0 3.69308e-05 1.5171e-05 4.5043e-05 9002
