NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 8.53317e-09 0 0.00990799 0.00513411 0.0123457 38
20 20 0.0526316 0.0526316 9.76981e-09 0 0.00226569 0.00102544 0.00277008 145
30 30 0.0344828 0.0344828 9.70139e-09 0 0.000975262 0.000424409 0.00118906 316
40 40 0.025641 0.025641 9.77355e-09 0 0.000539292 0.000230345 0.000657462 546
50 50 0.0204082 0.0204082 9.84552e-09 0 0.000341079 0.000144102 0.000416493 832
60 60 0.0169492 0.0169492 9.98065e-09 0 0.000234385 9.83185e-05 0.000287274 1171
70 70 0.0144928 0.0144928 9.96333e-09 0 0.000170282 7.10685e-05 0.00021004 1563
80 80 0.0126582 0.0126582 9.97718e-09 0 0.000128594 5.3468e-05 0.000160231 2005
90 90 0.011236 0.011236 9.98503e-09 0 9.9807e-05 4.13778e-05 0.000126247 2496
100 100 0.010101 0.010101 9.98098e-09 0 7.89498e-05 3.2655e-05 0.00010203 3035
110 110 0.00917431 0.00917431 9.96819e-09 0 6.32199e-05 2.60993e-05 8.4168e-05 3621
120 120 0.00840336 0.00840336 9.97948e-09 0 5.09182e-05 2.09876e-05 7.06165e-05 4252
130 130 0.00775194 0.00775194 9.98348e-09 0 4.10076e-05 1.68801e-05 6.00925e-05 4928
140 140 0.00719424 0.00719424 9.98657e-09 0 3.27951e-05 1.3484e-05 5.17572e-05 5648
150 150 0.00671141 0.00671141 9.9933e-09 0 2.58094e-05 1.06011e-05 4.5043e-05 6411
