nx dx dx*dx errorMax errorAbsAvg 
10 0.111111 0.0123457 0.00990802 0.00513412
20 0.0526316 0.00277008 0.00226582 0.00102551
30 0.0344828 0.00118906 0.000975577 0.000424548
40 0.025641 0.000657462 0.000539872 0.000230594
50 0.0204082 0.000416493 0.000342005 0.000144494
60 0.0169492 0.000287274 0.000235754 9.88936e-05
70 0.0144928 0.00021004 0.000172151 7.18493e-05
80 0.0126582 0.000160231 0.000131049 5.44897e-05
90 0.011236 0.000126247 0.000102927 4.26724e-05
100 0.010101 0.00010203 8.28092e-05 3.42524e-05
