0 0
0.03125 -0.0206692
0.0625 -0.0390901
0.09375 -0.0559975
0.125 -0.0719592
0.15625 -0.0873998
0.1875 -0.102611
0.21875 -0.117751
0.25 -0.132831
0.28125 -0.147707
0.3125 -0.162064
0.34375 -0.175416
0.375 -0.187112
0.40625 -0.19637
0.4375 -0.20233
0.46875 -0.204128
0.5 -0.200992
0.53125 -0.192328
0.5625 -0.177806
0.59375 -0.157393
0.625 -0.131344
0.65625 -0.100125
0.6875 -0.0642554
0.71875 -0.0240677
0.75 0.0206385
0.78125 0.0710833
0.8125 0.13013
0.84375 0.202925
0.875 0.297151
0.90625 0.421993
0.9375 0.5846
0.96875 0.783351
1 1
